id;Music;Hiphop, Rap;Raggae;Swing, Jazz;Movies;Comedy;Romantic;Sci-fi;War;Fantasy/Fairy tales;Documentary;Western;History;Psychology;Politics;Reading;Languages;Musical instruments;Writing;Sport;Celebrities;Science and technology;Theatre;Age;Gender;clusters
1;5.0;1.0;1.0;1.0;5.0;5.0;4.0;4.0;1.0;5.0;3.0;1.0;1.0;5.0;1.0;3.0;5.0;3.0;2.0;5.0;1.0;4.0;2.0;20.0;1;1
2;4.0;1.0;3.0;1.0;5.0;4.0;3.0;4.0;1.0;3.0;4.0;1.0;1.0;3.0;4.0;4.0;5.0;1.0;1.0;1.0;2.0;3.0;2.0;19.0;1;3
3;5.0;1.0;4.0;3.0;5.0;4.0;2.0;4.0;2.0;5.0;2.0;2.0;1.0;2.0;1.0;5.0;5.0;5.0;5.0;2.0;1.0;2.0;5.0;20.0;1;4
4;5.0;5.0;3.0;2.0;5.0;5.0;2.0;3.0;3.0;4.0;3.0;1.0;3.0;2.0;3.0;5.0;3.0;3.0;1.0;1.0;3.0;3.0;2.0;20.0;1;1
5;5.0;4.0;3.0;4.0;5.0;5.0;2.0;3.0;3.0;4.0;3.0;2.0;5.0;3.0;4.0;3.0;4.0;5.0;1.0;4.0;1.0;3.0;1.0;20.0;0;2
6;5.0;3.0;1.0;1.0;4.0;5.0;3.0;1.0;3.0;5.0;3.0;1.0;3.0;3.0;1.0;3.0;4.0;2.0;1.0;3.0;1.0;4.0;3.0;20.0;1;1
7;5.0;3.0;2.0;2.0;5.0;5.0;2.0;3.0;3.0;4.0;3.0;1.0;5.0;2.0;3.0;2.0;4.0;1.0;1.0;5.0;3.0;2.0;2.0;19.0;0;5
8;5.0;1.0;2.0;2.0;5.0;5.0;4.0;4.0;5.0;4.0;5.0;1.0;3.0;2.0;1.0;5.0;1.0;2.0;1.0;1.0;5.0;1.0;5.0;18.0;1;1
9;5.0;2.0;4.0;4.0;5.0;5.0;5.0;1.0;3.0;4.0;4.0;1.0;3.0;2.0;3.0;4.0;5.0;3.0;1.0;4.0;2.0;3.0;5.0;19.0;1;4
10;5.0;3.0;2.0;2.0;5.0;5.0;3.0;3.0;2.0;5.0;3.0;1.0;3.0;3.0;3.0;3.0;5.0;1.0;1.0;1.0;2.0;4.0;2.0;19.0;1;1
11;5.0;1.0;1.0;2.0;5.0;4.0;3.0;2.0;5.0;5.0;5.0;1.0;2.0;2.0;5.0;3.0;2.0;1.0;1.0;3.0;2.0;3.0;1.0;17.0;1;3
12;5.0;3.0;1.0;1.0;5.0;4.0;3.0;1.0;4.0;5.0;3.0;1.0;4.0;4.0;4.0;5.0;5.0;4.0;1.0;3.0;3.0;3.0;2.0;24.0;1;1
13;5.0;2.0;1.0;3.0;5.0;5.0;5.0;2.0;1.0;5.0;2.0;1.0;2.0;2.0;1.0;4.0;5.0;3.0;1.0;3.0;5.0;2.0;3.0;19.0;1;1
14;5.0;3.0;4.0;4.0;4.0;5.0;4.0;1.0;1.0;5.0;3.0;1.0;2.0;5.0;1.0;4.0;3.0;1.0;5.0;1.0;5.0;2.0;4.0;22.0;1;1
15;1.0;2.0;4.0;2.0;5.0;5.0;3.0;3.0;5.0;4.0;5.0;2.0;5.0;5.0;3.0;3.0;4.0;5.0;2.0;3.0;1.0;5.0;3.0;18.0;0;2
16;5.0;2.0;3.0;2.0;5.0;5.0;3.0;2.0;2.0;2.0;4.0;1.0;1.0;1.0;1.0;1.0;3.0;2.0;1.0;1.0;3.0;2.0;1.0;19.0;1;1
17;5.0;3.0;4.0;3.0;5.0;5.0;5.0;5.0;2.0;4.0;5.0;1.0;3.0;2.0;2.0;4.0;2.0;1.0;2.0;3.0;3.0;4.0;3.0;20.0;1;1
18;5.0;4.0;4.0;4.0;5.0;5.0;4.0;5.0;5.0;4.0;5.0;5.0;3.0;5.0;3.0;3.0;4.0;1.0;1.0;3.0;1.0;5.0;1.0;18.0;0;2
19;5.0;1.0;4.0;5.0;3.0;4.0;2.0;3.0;5.0;4.0;5.0;2.0;2.0;3.0;3.0;3.0;4.0;5.0;1.0;2.0;3.0;4.0;2.0;18.0;0;2
20;5.0;4.0;3.0;5.0;5.0;5.0;3.0;3.0;4.0;3.0;3.0;2.0;5.0;3.0;4.0;3.0;4.0;5.0;3.0;5.0;2.0;5.0;2.0;20.0;0;2
21;5.0;1.0;2.0;1.0;5.0;5.0;2.0;5.0;3.0;3.0;5.0;2.0;4.0;4.0;4.0;1.0;4.0;2.0;4.0;3.0;1.0;5.0;4.0;24.0;0;2
22;5.0;3.0;3.0;3.0;5.0;5.0;5.0;4.0;3.0;5.0;3.0;2.0;2.0;2.0;3.0;5.0;4.0;5.0;3.0;4.0;3.0;3.0;5.0;20.0;1;4
23;5.0;1.0;1.0;1.0;5.0;5.0;5.0;2.0;2.0;2.0;3.0;1.0;4.0;5.0;5.0;4.0;5.0;4.0;3.0;5.0;4.0;5.0;5.0;19.0;1;1
24;5.0;3.0;1.0;2.0;5.0;5.0;5.0;1.0;1.0;4.0;3.0;1.0;2.0;2.0;1.0;4.0;5.0;1.0;1.0;4.0;5.0;1.0;3.0;20.0;1;1
25;5.0;2.0;1.0;3.0;5.0;5.0;4.0;2.0;5.0;5.0;5.0;2.0;3.0;3.0;1.0;4.0;3.0;2.0;2.0;5.0;4.0;3.0;1.0;22.0;1;4
26;4.0;2.0;4.0;2.0;5.0;3.0;4.0;5.0;3.0;2.0;5.0;2.0;2.0;2.0;3.0;2.0;4.0;1.0;1.0;4.0;2.0;2.0;1.0;19.0;1;3
27;5.0;5.0;2.0;1.0;5.0;5.0;3.0;1.0;5.0;4.0;3.0;4.0;5.0;1.0;1.0;1.0;4.0;1.0;1.0;5.0;3.0;3.0;1.0;20.0;0;5
28;5.0;3.0;4.0;3.0;5.0;5.0;5.0;2.0;4.0;5.0;4.0;2.0;5.0;4.0;2.0;5.0;5.0;2.0;2.0;4.0;4.0;3.0;4.0;19.0;1;4
29;4.0;4.0;3.0;4.0;5.0;4.0;3.0;4.0;4.0;3.0;4.0;3.0;2.0;3.0;3.0;4.0;4.0;1.0;1.0;5.0;2.0;4.0;2.0;25.0;0;2
30;4.0;3.0;3.0;2.0;4.0;5.0;5.0;2.0;2.0;5.0;4.0;1.0;4.0;4.0;2.0;5.0;4.0;1.0;2.0;1.0;1.0;1.0;3.0;22.0;1;3
31;5.0;4.0;2.0;2.0;5.0;5.0;5.0;2.0;3.0;5.0;3.0;2.0;4.0;5.0;3.0;3.0;3.0;2.0;1.0;2.0;4.0;3.0;3.0;20.0;1;4
32;5.0;1.0;3.0;4.0;4.0;4.0;3.0;1.0;3.0;5.0;5.0;2.0;5.0;3.0;5.0;5.0;5.0;3.0;1.0;4.0;3.0;3.0;4.0;27.0;1;4
33;5.0;2.0;3.0;3.0;5.0;5.0;4.0;4.0;2.0;2.0;3.0;1.0;4.0;5.0;4.0;3.0;5.0;3.0;2.0;3.0;1.0;5.0;3.0;20.0;0;2
34;5.0;4.0;3.0;1.0;5.0;5.0;5.0;3.0;4.0;1.0;1.0;1.0;1.0;1.0;1.0;5.0;5.0;1.0;1.0;3.0;3.0;2.0;5.0;19.0;1;1
35;5.0;1.0;1.0;1.0;5.0;4.0;4.0;4.0;4.0;5.0;3.0;1.0;4.0;5.0;3.0;5.0;4.0;1.0;1.0;1.0;4.0;4.0;4.0;18.0;1;1
36;5.0;1.0;2.0;2.0;4.0;5.0;2.0;3.0;4.0;2.0;4.0;3.0;3.0;3.0;5.0;2.0;4.0;5.0;1.0;5.0;2.0;4.0;1.0;21.0;0;5
37;5.0;4.0;5.0;2.0;5.0;5.0;5.0;3.0;3.0;5.0;5.0;2.0;3.0;4.0;4.0;5.0;5.0;3.0;5.0;4.0;2.0;3.0;3.0;23.0;1;4
38;5.0;1.0;2.0;1.0;4.0;5.0;5.0;3.0;4.0;5.0;4.0;2.0;4.0;1.0;1.0;3.0;1.0;2.0;1.0;5.0;2.0;5.0;2.0;21.0;1;1
39;4.0;3.0;2.0;1.0;5.0;5.0;3.0;2.0;1.0;2.0;4.0;1.0;2.0;1.0;1.0;1.0;3.0;1.0;1.0;1.0;5.0;3.0;1.0;26.0;1;1
40;5.0;5.0;5.0;5.0;3.0;5.0;1.0;5.0;5.0;1.0;5.0;5.0;5.0;4.0;5.0;5.0;3.0;4.0;1.0;5.0;1.0;3.0;1.0;20.0;0;5
41;5.0;3.0;3.0;3.0;5.0;5.0;5.0;5.0;3.0;5.0;4.0;3.0;2.0;5.0;1.0;3.0;5.0;2.0;1.0;1.0;2.0;4.0;2.0;19.0;1;4
42;5.0;3.0;2.0;2.0;5.0;5.0;4.0;3.0;2.0;5.0;3.0;1.0;2.0;4.0;2.0;3.0;5.0;2.0;5.0;3.0;3.0;3.0;3.0;20.0;1;1
43;4.0;3.0;1.0;3.0;5.0;5.0;4.0;3.0;1.0;5.0;4.0;1.0;4.0;5.0;5.0;5.0;3.0;1.0;3.0;2.0;5.0;4.0;4.0;25.0;1;1
44;5.0;3.0;3.0;3.0;5.0;5.0;2.0;4.0;1.0;2.0;5.0;2.0;5.0;5.0;5.0;3.0;2.0;5.0;1.0;5.0;4.0;5.0;2.0;27.0;0;2
45;5.0;1.0;3.0;3.0;5.0;4.0;2.0;2.0;3.0;3.0;2.0;1.0;2.0;3.0;1.0;5.0;5.0;1.0;1.0;2.0;2.0;2.0;4.0;19.0;1;3
46;5.0;5.0;5.0;2.0;3.0;3.0;2.0;2.0;1.0;2.0;3.0;1.0;2.0;4.0;3.0;2.0;5.0;2.0;1.0;4.0;2.0;3.0;4.0;20.0;1;3
47;5.0;3.0;2.0;2.0;5.0;5.0;3.0;3.0;3.0;5.0;1.0;1.0;2.0;2.0;2.0;5.0;4.0;1.0;1.0;1.0;2.0;3.0;2.0;20.0;1;1
48;4.0;4.0;4.0;3.0;5.0;5.0;4.0;2.0;4.0;4.0;4.0;1.0;3.0;4.0;1.0;4.0;4.0;1.0;1.0;4.0;4.0;4.0;2.0;19.0;1;3
49;5.0;2.0;4.0;4.0;5.0;5.0;5.0;4.0;3.0;5.0;4.0;3.0;2.0;4.0;4.0;3.0;4.0;2.0;1.0;5.0;2.0;5.0;2.0;19.0;1;4
50;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;4.0;3.0;5.0;4.0;5.0;5.0;5.0;1.0;4.0;4.0;21.0;1;4
51;5.0;3.0;3.0;3.0;5.0;5.0;5.0;1.0;5.0;5.0;3.0;1.0;3.0;3.0;4.0;4.0;5.0;4.0;1.0;5.0;1.0;3.0;5.0;18.0;1;1
52;5.0;3.0;3.0;4.0;5.0;5.0;5.0;5.0;3.0;5.0;5.0;2.0;5.0;3.0;4.0;5.0;4.0;4.0;2.0;4.0;1.0;3.0;5.0;21.0;1;4
53;5.0;4.0;3.0;3.0;5.0;3.0;3.0;2.0;3.0;4.0;3.0;2.0;4.0;5.0;2.0;3.0;5.0;2.0;1.0;3.0;3.0;4.0;2.0;23.0;1;3
54;5.0;2.0;3.0;4.0;5.0;5.0;5.0;3.0;2.0;4.0;3.0;3.0;3.0;4.0;4.0;5.0;5.0;1.0;3.0;1.0;2.0;3.0;4.0;20.0;1;4
55;5.0;2.0;2.0;4.0;5.0;5.0;3.0;5.0;3.0;5.0;5.0;2.0;5.0;5.0;2.0;5.0;3.0;2.0;1.0;3.0;5.0;3.0;5.0;21.0;1;4
56;5.0;2.0;2.0;1.0;5.0;5.0;1.0;3.0;2.0;3.0;5.0;1.0;3.0;3.0;1.0;1.0;4.0;1.0;1.0;3.0;2.0;4.0;1.0;19.0;0;5
57;5.0;3.0;3.0;4.0;5.0;3.0;3.0;4.0;3.0;3.0;3.0;1.0;4.0;4.0;5.0;5.0;3.0;1.0;3.0;1.0;1.0;1.0;1.0;22.0;0;2
58;5.0;2.0;3.0;3.0;5.0;4.0;4.0;4.0;5.0;3.0;4.0;3.0;4.0;5.0;4.0;5.0;4.0;5.0;5.0;4.0;1.0;4.0;4.0;23.0;0;2
59;5.0;3.0;2.0;3.0;5.0;5.0;5.0;5.0;3.0;4.0;2.0;2.0;3.0;3.0;3.0;1.0;3.0;1.0;1.0;1.0;2.0;3.0;3.0;23.0;0;5
60;5.0;5.0;4.0;5.0;5.0;5.0;1.0;5.0;5.0;5.0;5.0;1.0;5.0;4.0;4.0;2.0;4.0;2.0;1.0;5.0;1.0;5.0;2.0;23.0;0;2
61;5.0;2.0;1.0;2.0;5.0;5.0;5.0;1.0;3.0;5.0;2.0;1.0;1.0;2.0;2.0;2.0;5.0;1.0;1.0;1.0;3.0;4.0;5.0;18.0;1;1
62;4.0;4.0;2.0;2.0;5.0;5.0;3.0;5.0;5.0;4.0;3.0;2.0;5.0;2.0;3.0;1.0;3.0;1.0;1.0;3.0;2.0;2.0;1.0;17.0;0;5
63;4.0;3.0;3.0;3.0;4.0;5.0;3.0;5.0;5.0;5.0;4.0;3.0;3.0;2.0;2.0;1.0;2.0;1.0;1.0;5.0;3.0;4.0;2.0;20.0;0;5
64;3.0;4.0;3.0;4.0;5.0;5.0;5.0;1.0;2.0;4.0;2.0;1.0;2.0;3.0;3.0;3.0;4.0;2.0;2.0;3.0;3.0;2.0;3.0;24.0;1;1
65;5.0;1.0;5.0;4.0;5.0;5.0;4.0;4.0;2.0;5.0;2.0;1.0;2.0;2.0;3.0;2.0;4.0;2.0;1.0;1.0;1.0;4.0;3.0;18.0;1;1
66;5.0;5.0;2.0;3.0;5.0;5.0;3.0;3.0;3.0;2.0;2.0;1.0;2.0;1.0;3.0;2.0;3.0;1.0;1.0;5.0;2.0;3.0;1.0;17.0;0;5
67;4.0;4.0;4.0;1.0;4.0;5.0;3.0;1.0;3.0;3.0;3.0;1.0;5.0;1.0;5.0;3.0;2.0;1.0;1.0;5.0;4.0;4.0;1.0;20.0;0;5
68;5.0;4.0;2.0;2.0;5.0;5.0;5.0;3.0;3.0;5.0;4.0;2.0;3.0;2.0;1.0;2.0;3.0;3.0;1.0;3.0;2.0;1.0;2.0;28.0;1;1
69;5.0;5.0;2.0;2.0;5.0;5.0;4.0;3.0;5.0;5.0;3.0;3.0;4.0;3.0;4.0;2.0;5.0;3.0;1.0;5.0;2.0;5.0;2.0;21.0;0;5
70;5.0;5.0;4.0;1.0;5.0;5.0;1.0;4.0;5.0;3.0;4.0;5.0;4.0;3.0;5.0;1.0;5.0;5.0;3.0;5.0;1.0;2.0;2.0;22.0;0;5
71;5.0;3.0;5.0;4.0;4.0;5.0;2.0;1.0;4.0;1.0;4.0;4.0;5.0;5.0;4.0;2.0;5.0;5.0;2.0;5.0;3.0;4.0;4.0;20.0;0;2
72;5.0;4.0;2.0;2.0;5.0;5.0;3.0;1.0;1.0;5.0;5.0;2.0;4.0;2.0;1.0;5.0;5.0;1.0;1.0;5.0;1.0;3.0;5.0;21.0;1;4
73;4.0;4.0;5.0;5.0;5.0;5.0;4.0;2.0;3.0;5.0;5.0;3.0;2.0;5.0;1.0;5.0;5.0;2.0;3.0;5.0;1.0;5.0;5.0;24.0;1;4
74;5.0;5.0;3.0;3.0;5.0;5.0;4.0;5.0;5.0;5.0;5.0;3.0;4.0;3.0;5.0;1.0;5.0;2.0;1.0;3.0;1.0;4.0;3.0;21.0;1;4
75;5.0;4.0;4.0;3.0;5.0;5.0;4.0;3.0;4.0;5.0;4.0;2.0;5.0;4.0;4.0;2.0;3.0;2.0;1.0;5.0;3.0;3.0;2.0;19.0;1;4
76;5.0;4.0;4.0;3.0;5.0;5.0;3.0;5.0;3.0;5.0;4.0;3.0;3.0;2.0;1.0;2.0;4.0;1.0;1.0;5.0;2.0;5.0;2.0;22.0;0;2
77;5.0;1.0;1.0;2.0;5.0;3.0;2.0;4.0;3.0;5.0;5.0;3.0;4.0;5.0;1.0;5.0;4.0;3.0;2.0;1.0;1.0;2.0;3.0;18.0;1;4
78;5.0;1.0;1.0;2.0;5.0;5.0;4.0;3.0;5.0;5.0;3.0;3.0;4.0;3.0;1.0;2.0;3.0;4.0;1.0;4.0;2.0;5.0;5.0;22.0;0;5
79;4.0;4.0;3.0;3.0;5.0;4.0;1.0;4.0;4.0;3.0;4.0;3.0;5.0;5.0;5.0;5.0;4.0;4.0;4.0;5.0;1.0;5.0;5.0;24.0;0;2
80;5.0;3.0;5.0;3.0;5.0;5.0;4.0;1.0;5.0;3.0;4.0;2.0;5.0;4.0;5.0;3.0;5.0;1.0;1.0;5.0;2.0;3.0;4.0;18.0;1;4
81;5.0;1.0;1.0;5.0;5.0;5.0;2.0;2.0;1.0;3.0;4.0;1.0;5.0;1.0;5.0;5.0;5.0;1.0;5.0;1.0;5.0;3.0;3.0;21.0;1;1
82;5.0;1.0;2.0;4.0;5.0;4.0;3.0;2.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;4.0;4.0;1.0;1.0;2.0;3.0;1.0;4.0;22.0;1;3
83;4.0;1.0;3.0;1.0;4.0;5.0;4.0;2.0;2.0;5.0;3.0;1.0;1.0;1.0;1.0;3.0;4.0;3.0;1.0;1.0;1.0;3.0;2.0;19.0;1;1
84;5.0;1.0;3.0;5.0;5.0;3.0;4.0;3.0;2.0;4.0;5.0;3.0;4.0;3.0;2.0;5.0;5.0;2.0;4.0;2.0;2.0;2.0;4.0;19.0;1;4
85;5.0;1.0;1.0;5.0;4.0;3.0;1.0;4.0;3.0;3.0;3.0;3.0;2.0;3.0;1.0;1.0;2.0;2.0;1.0;4.0;1.0;5.0;1.0;24.0;0;5
86;5.0;5.0;2.0;1.0;5.0;5.0;1.0;4.0;2.0;2.0;3.0;1.0;3.0;2.0;1.0;2.0;4.0;2.0;1.0;1.0;1.0;4.0;2.0;21.0;0;5
87;5.0;5.0;5.0;4.0;5.0;5.0;3.0;5.0;5.0;4.0;3.0;1.0;4.0;4.0;4.0;1.0;4.0;1.0;1.0;2.0;3.0;5.0;3.0;21.0;0;5
88;5.0;3.0;1.0;1.0;2.0;5.0;1.0;5.0;5.0;5.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;4.0;1.0;1.0;1.0;19.0;0;5
89;5.0;5.0;2.0;2.0;5.0;5.0;3.0;5.0;5.0;3.0;5.0;3.0;3.0;2.0;2.0;3.0;4.0;1.0;1.0;5.0;1.0;4.0;1.0;19.0;0;5
90;3.0;1.0;3.0;2.0;3.0;2.0;2.0;5.0;5.0;1.0;5.0;3.0;1.0;1.0;1.0;3.0;5.0;1.0;1.0;5.0;1.0;5.0;1.0;22.0;0;5
91;5.0;2.0;4.0;1.0;3.0;5.0;4.0;2.0;1.0;4.0;5.0;1.0;3.0;4.0;1.0;3.0;4.0;1.0;1.0;2.0;1.0;3.0;3.0;18.0;1;1
92;5.0;4.0;4.0;3.0;5.0;5.0;5.0;3.0;2.0;5.0;3.0;2.0;3.0;1.0;2.0;3.0;4.0;4.0;1.0;1.0;3.0;3.0;3.0;21.0;1;1
93;5.0;1.0;4.0;3.0;4.0;5.0;3.0;4.0;5.0;4.0;5.0;4.0;5.0;1.0;4.0;5.0;3.0;1.0;1.0;1.0;2.0;3.0;1.0;18.0;0;5
94;4.0;3.0;3.0;4.0;4.0;4.0;2.0;3.0;5.0;4.0;5.0;3.0;5.0;4.0;5.0;2.0;3.0;2.0;3.0;3.0;1.0;3.0;3.0;21.0;0;2
95;5.0;1.0;2.0;3.0;4.0;4.0;3.0;1.0;4.0;4.0;5.0;3.0;4.0;2.0;2.0;3.0;3.0;1.0;1.0;5.0;1.0;4.0;3.0;24.0;0;5
96;5.0;4.0;4.0;4.0;5.0;5.0;5.0;5.0;5.0;5.0;4.0;3.0;4.0;4.0;3.0;2.0;5.0;1.0;1.0;2.0;2.0;5.0;2.0;19.0;0;2
97;5.0;1.0;3.0;4.0;3.0;4.0;2.0;2.0;3.0;3.0;2.0;1.0;1.0;2.0;4.0;5.0;1.0;1.0;4.0;5.0;1.0;2.0;5.0;18.0;1;3
98;4.0;2.0;1.0;1.0;5.0;5.0;4.0;3.0;2.0;4.0;3.0;1.0;1.0;3.0;2.0;2.0;4.0;5.0;4.0;1.0;1.0;2.0;3.0;17.0;1;1
99;5.0;2.0;2.0;2.0;5.0;4.0;2.0;5.0;5.0;3.0;4.0;3.0;3.0;3.0;4.0;1.0;3.0;1.0;1.0;2.0;1.0;4.0;1.0;18.0;0;5
100;5.0;1.0;4.0;5.0;4.0;5.0;3.0;4.0;5.0;4.0;4.0;5.0;3.0;4.0;1.0;1.0;4.0;1.0;3.0;4.0;1.0;4.0;1.0;21.0;0;5
101;5.0;3.0;3.0;4.0;4.0;4.0;4.0;2.0;2.0;5.0;4.0;2.0;3.0;4.0;1.0;5.0;5.0;2.0;4.0;3.0;2.0;3.0;4.0;22.0;1;4
102;5.0;1.0;3.0;4.0;5.0;4.0;4.0;3.0;1.0;4.0;4.0;1.0;2.0;3.0;1.0;5.0;4.0;2.0;1.0;2.0;1.0;5.0;5.0;20.0;1;1
103;5.0;2.0;2.0;2.0;5.0;4.0;3.0;2.0;2.0;5.0;3.0;2.0;5.0;3.0;1.0;5.0;5.0;1.0;4.0;1.0;2.0;4.0;4.0;19.0;1;4
104;5.0;1.0;1.0;2.0;4.0;5.0;5.0;3.0;3.0;5.0;3.0;1.0;2.0;4.0;2.0;5.0;4.0;5.0;5.0;1.0;1.0;1.0;2.0;21.0;1;1
105;5.0;1.0;1.0;1.0;4.0;4.0;5.0;2.0;2.0;4.0;4.0;1.0;2.0;2.0;2.0;1.0;2.0;1.0;1.0;1.0;4.0;3.0;2.0;18.0;1;3
106;5.0;2.0;4.0;4.0;5.0;3.0;2.0;2.0;3.0;2.0;3.0;3.0;3.0;2.0;4.0;4.0;3.0;2.0;2.0;1.0;1.0;3.0;2.0;23.0;0;2
107;4.0;2.0;2.0;2.0;3.0;4.0;3.0;1.0;2.0;3.0;2.0;1.0;4.0;4.0;2.0;3.0;1.0;3.0;3.0;1.0;1.0;2.0;2.0;16.0;1;3
108;5.0;1.0;3.0;5.0;3.0;5.0;4.0;2.0;5.0;4.0;5.0;3.0;5.0;3.0;4.0;5.0;4.0;3.0;2.0;4.0;1.0;5.0;5.0;23.0;0;2
109;4.0;4.0;2.0;2.0;4.0;4.0;3.0;3.0;4.0;3.0;1.0;3.0;1.0;3.0;3.0;1.0;2.0;1.0;1.0;2.0;3.0;4.0;1.0;21.0;0;5
110;5.0;1.0;3.0;4.0;4.0;3.0;2.0;2.0;2.0;4.0;5.0;2.0;5.0;2.0;1.0;5.0;3.0;2.0;3.0;2.0;2.0;1.0;5.0;23.0;1;4
111;5.0;3.0;1.0;5.0;3.0;4.0;2.0;1.0;1.0;2.0;5.0;1.0;2.0;3.0;1.0;3.0;3.0;5.0;4.0;4.0;1.0;3.0;4.0;20.0;1;1
112;5.0;2.0;4.0;5.0;5.0;5.0;4.0;4.0;3.0;4.0;3.0;2.0;4.0;4.0;4.0;5.0;4.0;5.0;5.0;3.0;1.0;3.0;5.0;20.0;1;4
113;3.0;4.0;1.0;1.0;3.0;4.0;4.0;1.0;1.0;5.0;3.0;1.0;5.0;2.0;2.0;4.0;5.0;1.0;2.0;1.0;3.0;2.0;2.0;20.0;1;1
114;4.0;3.0;4.0;3.0;5.0;4.0;3.0;4.0;4.0;3.0;4.0;2.0;4.0;4.0;4.0;4.0;4.0;1.0;3.0;1.0;1.0;4.0;3.0;19.0;1;3
115;5.0;2.0;3.0;1.0;5.0;3.0;5.0;5.0;5.0;2.0;2.0;1.0;4.0;5.0;3.0;5.0;5.0;5.0;5.0;3.0;1.0;5.0;5.0;15.0;1;4
116;5.0;2.0;3.0;4.0;5.0;4.0;5.0;2.0;2.0;5.0;5.0;2.0;4.0;3.0;2.0;3.0;3.0;1.0;1.0;1.0;1.0;3.0;1.0;20.0;1;3
117;5.0;5.0;2.0;1.0;5.0;2.0;1.0;4.0;3.0;3.0;3.0;4.0;1.0;3.0;4.0;1.0;4.0;1.0;1.0;1.0;2.0;4.0;3.0;18.0;0;5
118;5.0;2.0;4.0;3.0;5.0;5.0;5.0;5.0;4.0;2.0;4.0;1.0;1.0;5.0;2.0;4.0;5.0;1.0;1.0;1.0;3.0;4.0;2.0;15.0;1;1
119;5.0;1.0;2.0;5.0;5.0;2.0;2.0;1.0;4.0;5.0;5.0;1.0;4.0;1.0;1.0;5.0;4.0;5.0;3.0;4.0;1.0;1.0;5.0;20.0;1;4
120;5.0;4.0;4.0;4.0;5.0;5.0;5.0;5.0;3.0;5.0;5.0;3.0;3.0;3.0;3.0;3.0;3.0;2.0;1.0;3.0;2.0;4.0;4.0;16.0;1;4
121;5.0;3.0;5.0;4.0;4.0;5.0;2.0;4.0;5.0;3.0;5.0;2.0;5.0;2.0;1.0;4.0;5.0;3.0;1.0;4.0;3.0;5.0;4.0;18.0;0;2
122;5.0;5.0;1.0;1.0;5.0;5.0;4.0;3.0;5.0;2.0;4.0;3.0;4.0;2.0;5.0;3.0;3.0;1.0;2.0;5.0;1.0;5.0;5.0;21.0;0;5
123;5.0;3.0;3.0;4.0;5.0;5.0;5.0;1.0;3.0;5.0;4.0;3.0;2.0;3.0;2.0;5.0;5.0;5.0;3.0;4.0;2.0;2.0;2.0;20.0;1;4
